"GEOID","JanTemp","JulyTemp","Precipitation"
"0614708",53.1,92.5,14.06
"0616714",53.6,93.3,18.7
"0625590",53.6,93.3,18.7
"0614554",53.3,95.4,22.02
"0646338",53.3,95.4,22.02
"0622524",53.6,93.3,18.7
"0641390",38,82.8,18.08
"0614764",48.4,85.8,44.66
"0673700",57,99.4,6.86
"0621210",48.1,86.8,21.84
"0622360",48.1,86.8,21.84
"0657568",48.1,86.8,21.84
"0670966",48.1,86.8,21.84
"0686734",48.1,86.8,21.84
"0675596",48.1,86.8,21.84
"0632562",43.9,85.9,57.52
"0662200",51.2,92.3,44.43
"0651574",51.2,92.3,44.43
"0684345",48.1,86.8,21.84
"0657825",57.2,76.2,33.07
"0686720",57,99.4,6.86
"0649180",53.1,92.5,14.06
"0649726",49.9,88.6,32.82
"0603316",52.2,91.2,34.28
"0608338",55.9,73,28.68
"0657582",53.4,93.8,11.28
"0670518",47.3,79,63.43
"0673388",54.6,95.1,9.05
"0639114",64,82.2,13.55
"0622370",56.5,82.7,20.41
"0611614",49,88.2,19.6
"0662700",53.5,85.1,18.5
"0602700",54.3,97.6,7.61
"0653294",58,87.3,17.16
"0667070",53.4,70.9,35.5
"0611754",58.3,80.5,18.84
"0621061",53.5,85.1,18.5
"0646223",48.1,86.8,21.84
"0621530",40,81.5,38.84
"0623812",54.6,95.1,9.05
"0655506",48.1,86.8,21.84
"0656786",54.3,79.7,42.05
"0619024",66.9,105.9,3.38
"0658814",50.4,91.8,36.54
"0649684",57,99.4,6.86
"0664308",66.9,105.9,3.38
"0678949",48.1,86.8,21.84
"0678750",48.1,86.8,21.84
"0651820",57.7,87.5,15.56
"0612730",52.1,95.6,6.24
"0627080",54.6,82.9,23.12
"0677860",53.9,94.7,20.02
"0611600",52.1,95.6,6.24
"0610816",49,88.2,19.6
"0613182",45.5,82,40.86
"0680882",53.4,93.8,11.28
"0684680",49,88.2,19.6
"0633336",39.2,83.8,20.42
"0686020",66.9,105.9,3.38
"0639885",46.8,84.2,50.39
"0619455",47.6,85.7,45.79
"0621894",54.3,79.7,42.05
"0630882",53,92.8,13.65
"0678652",49,88.2,19.6
"0645008",39.2,83.8,20.42
"0681050",57.2,76.2,33.07
"0618030",52.1,95.6,6.24
"0644280",54.6,95.1,9.05
"0649810",61,89.2,14.29
"0604856",40.7,81.9,41.24
"0685642",47.3,79,63.43
"0613966",51.2,89.3,43.5
"0642566",48.1,86.8,21.84
"0664000",53.6,93.3,18.7
"0682954",48.1,86.8,21.84
"0682996",61,89.2,14.29
"0627000",49,88.2,19.6
"0665112",58.4,85.8,20.11
"0670364",53.4,70.9,35.5
"0644364",41.3,80.2,45.78
"0680686",40,81.5,38.84
"0620515",54.6,95.1,9.05
"0624792",49.9,88.6,32.82
"0639164",53,92.8,13.65
"0678582",56.5,82.7,20.41
"0633000",54.4,82.3,18.76
"0652624",61.8,99.3,8.49
"0609948",58,87.3,17.16
"0678232",53.1,92.5,14.06
"0636452",61.8,99.3,8.49
"0645736",54.6,95.1,9.05
"0662496",48.1,86.8,21.84
"0672954",53.4,93.8,11.28
"0684732",52.2,91.2,34.28
"0660942",53.6,93.3,18.7
"0656598",57.7,87.5,15.56
"0647066",61.8,99.3,8.49
"0623294",53.6,93.3,18.7
"0604415",53.5,85.1,18.5
"0669070",58.3,80.5,18.84
"0661096",49,88.2,19.6
"0612818",51.2,92.3,44.43
"0621544",54.6,95.1,9.05
"0673554",39.2,83.8,20.42
"0601010",48.1,86.8,21.84
"0618450",48.1,86.8,21.84
"0658134",48.1,86.8,21.84
"0661124",51.8,90.4,35.24
"0619406",52.1,95.6,6.24
"0674186",51.2,92.3,44.43
"0660662",51.2,92.3,44.43
"0680784",54.6,95.1,9.05
"0620942",48.1,86.8,21.84
"0648186",58.3,80.5,18.84
"0643000",57.7,87.5,15.56
"0617428",53,92.8,13.65
"0604576",52.4,92.8,37.74
"0621712",61,89.2,14.29
"0603708",53.4,93.8,11.28
"0685866",48.1,86.8,21.84
"0664462",57,99.4,6.86
"0675592",48.1,86.8,21.84
"0680266",49,88.2,19.6
"0607378",49.5,89.7,23.13
"0684480",53,92.8,13.65
"0623910",47.3,79,63.43
"0677588",54.6,95.1,9.05
"0608758",58.3,80.5,18.84
"0672086",58.3,80.5,18.84
"0622328",49.9,88.6,32.82
"0606518",49,88.2,19.6
"0647192",54.6,95.1,9.05
"0612860",54.6,95.1,9.05
"0658618",40.7,81.9,41.24
"0681869",40.7,81.9,41.24
"0672408",53.4,93.8,11.28
"0600135",53.5,85.1,18.5
"0613157",54.6,95.1,9.05
"0685614",57.7,87.5,15.56
"0671932",48.1,86.8,21.84
"0610032",49,88.2,19.6
"0618856",53,92.8,13.65
"0631288",53.3,95.4,22.02
"0638786",53,92.8,13.65
"0640340",57.7,87.5,15.56
"0622972",40,81.5,38.84
"0656924",57.7,87.5,15.56
"0668028",64,82.2,13.55
"0649138",56.5,82.7,20.41
"0682744",64,82.2,13.55
"0656112",53,92.8,13.65
"0631260",51.2,92.3,44.43
"0625128",40,81.5,38.84
"0633364",57.7,87.5,15.56
"0659514",57.7,87.5,15.56
"0622594",54.4,82.3,18.76
"0616462",53.4,70.9,35.5
"0617568",57.7,87.5,15.56
"0610046",56.5,82.7,20.41
"0606070",51.2,92.3,44.43
"0639178",64,82.2,13.55
"0609066",55.9,73,28.68
"0636056",57.7,87.5,15.56
"0637442",47.1,89.1,41.96
"0661106",53,92.8,13.65
"0684144",57.7,87.5,15.56
"0607974",58.4,85.8,20.11
"0677700",47.6,85.7,45.79
"0631890",51.9,93.7,25.9
"0624764",54.6,95.1,9.05
"0604549",55.9,73,28.68
"0611250",58.4,85.8,20.11
"0642370",57,99.4,6.86
"0614260",61.8,99.3,8.49
"0686972",53.6,95.9,18.99
"0641040",53.4,93.8,11.28
"0678890",53.4,70.9,35.5
"0686328",53.9,94.7,20.02
"0640032",57.7,87.5,15.56
"0602896",57.7,87.5,15.56
"0639003",57.7,87.5,15.56
"0625436",49,88.2,19.6
"0617727",58.3,80.5,18.84
"0652610",39.2,83.8,20.42
"0649582",53.1,92.5,14.06
"0606994",40.7,81.9,41.24
"0649852",40,81.5,38.84
"0672478",51.2,89.3,43.5
"0600535",53,92.8,13.65
"0656120",48.1,86.8,21.84
"0600982",41.3,80.2,45.78
"0641740",48.1,86.8,21.84
"0686380",58,87.3,17.16
"0678568",53.1,92.5,14.06
"0632506",57.7,87.5,15.56
"0669154",57.7,87.5,15.56
"0655254",61.8,99.3,8.49
"0667042",57.7,87.5,15.56
"0603162",53.4,93.8,11.28
"0617750",64,82.2,13.55
"0654274",51.9,93.7,25.9
"0618506",61,89.2,14.29
"0654806",55.9,73,28.68
"0649187",53.5,85.1,18.5
"0602462",57.7,87.5,15.56
"0622230",57.7,87.5,15.56
"0619766",57.7,87.5,15.56
"0685292",57.7,87.5,15.56
"0678092",54.6,95.1,9.05
"0609878",66.9,105.9,3.38
"0680812",53,92.8,13.65
"0680854",64,82.2,13.55
"0646170",52.4,92.8,37.74
"0608786",64,82.2,13.55
"0644028",53.4,93.8,11.28
"0636980",51.8,90.4,35.24
"0633518",57.7,87.5,15.56
"0660018",57.7,87.5,15.56
"0645246",57.7,87.5,15.56
"0668252",55.9,73,28.68
"0649670",54.6,82.9,23.12
"0633308",53.5,85.1,18.5
"0603666",57.7,87.5,15.56
"0628000",64,82.2,13.55
"0632548",57.7,87.5,15.56
"0667000",54.6,69.3,24.31
"0670000",57.7,87.5,15.56
"0656784",54.3,79.7,42.05
"0624680",57,99.4,6.86
"0639290",64,82.2,13.55
"0615044",57.7,87.5,15.56
"0670280",54.6,82.9,23.12
"0669088",57.7,87.5,15.56
"0600884",57.7,87.5,15.56
"0678148",57.7,87.5,15.56
"0640704",53.1,92.5,14.06
"0678666",53.4,70.9,35.5
"0625338",55.9,73,28.68
"0664224",58.4,85.8,20.11
"0650258",53.6,88.7,31.12
"0616322",50.4,91.8,36.54
"0660242",49,88.2,19.6
"0614890",57,99.4,6.86
"0628168",57.7,87.5,15.56
"0644574",57.7,87.5,15.56
"0662644",57.7,87.5,15.56
"0684606",66.9,105.9,3.38
"0655618",57.7,87.5,15.56
"0672520",58.4,85.8,20.11
"0639220",64,82.2,13.55
"0618394",54.6,95.1,9.05
"0646492",57.7,87.5,15.56
"0640830",57.7,87.5,15.56
"0642468",57.7,87.5,15.56
"0622300",58,87.3,17.16
"0601640",53.6,88.7,31.12
"0681134",51.5,83.2,51.64
"0662602",57.7,87.5,15.56
"0617946",64,82.2,13.55
"0646870",55.9,73,28.68
"0608954",57.7,87.5,15.56
"0682590",57,99.4,6.86
"0620018",54.4,82.3,18.76
"0654386",51.2,92.3,44.43
"0611530",57.7,87.5,15.56
"0670042",56.5,82.7,20.41
"0603204",47.6,85.7,45.79
"0624134",49,88.2,19.6
"0600947",64,82.2,13.55
"0671362",53.5,85.1,18.5
"0671927",53.6,88.7,31.12
"0617162",57,99.4,6.86
"0658471",54.6,95.1,9.05
"0641180",57.7,87.5,15.56
"0631596",57.7,87.5,15.56
"0640426",54.3,79.7,42.05
"0612734",57.7,87.5,15.56
"0636420",47.3,79,63.43
"0601276",47.6,85.7,45.79
"0674130",57.7,87.5,15.56
"0639045",57.7,87.5,15.56
"0609990",51.5,83.2,51.64
"0677430",39.4,78.9,15.63
"0612314",48.1,86.8,21.84
"0670728",57,99.4,6.86
"0614454",45.5,82,40.86
"0676040",39.4,78.9,15.63
"0620574",58.3,80.5,18.84
"0648718",53.5,85.1,18.5
"0682667",57.7,87.5,15.56
"0634652",51.5,83.2,51.64
"0663218",57.7,87.5,15.56
"0638548",47.6,85.7,45.79
"0630282",54.6,95.1,9.05
"0602294",61.8,99.3,8.49
"0640526",64,82.2,13.55
"0656140",39.2,83.8,20.42
"0671246",49,88.2,19.6
"0639570",54.6,95.1,9.05
"0604478",47.3,79,63.43
"0657302",57,99.4,6.86
"0613560",57.7,87.5,15.56
"0624722",53.6,93.3,18.7
"0683085",61.8,99.3,8.49
"0601290",57.7,87.5,15.56
"0613784",53.9,94.7,20.02
"0645806",57.7,87.5,15.56
"0609318",51.2,92.3,44.43
"0681652",52.2,91.2,34.28
"0636658",54.6,95.1,9.05
"0637120",61,89.2,14.29
"0664294",66.9,105.9,3.38
"0683570",46.8,84.2,50.39
"0613278",54.6,95.1,9.05
"0645120",51.2,92.3,44.43
"0656870",45.5,82,40.86
"0604926",47.1,89.1,41.96
"0642524",58.3,80.5,18.84
"0613756",57.7,87.5,15.56
"0643280",54.6,82.9,23.12
"0600394",57.7,87.5,15.56
"0619192",57.7,87.5,15.56
"0685012",52.4,92.8,37.74
"0603274",57.7,87.5,15.56
"0654848",58.4,85.8,20.11
"0673962",64,82.2,13.55
"0613214",57,99.4,6.86
"0604982",57.7,87.5,15.56
"0651812",54.6,95.1,9.05
"0607316",53.4,70.9,35.5
"0681736",61,89.2,14.29
"0641558",53.1,92.5,14.06
"0616580",64,82.2,13.55
"0671554",48.4,85.8,44.66
"0682786",50.4,91.8,36.54
"0636098",43.9,85.9,57.52
"0600618",53.5,85.1,18.5
"0612415",47.1,89.1,41.96
"0602210",53.6,93.3,18.7
"0610508",61,89.2,14.29
"0622587",55.9,73,28.68
"0663386",43.9,85.9,57.52
"0630476",48.1,86.8,21.84
"0642412",52.4,92.8,37.74
"0686230",53.1,92.5,14.06
"0624022",47.3,79,63.43
"0608240",39.4,78.9,15.63
"0645680",61.8,99.3,8.49
"0642510",57.2,76.2,33.07
"0647164",54.6,95.1,9.05
"0663400",53.6,88.7,31.12
"0639696",54.6,95.1,9.05
"0638177",47.3,79,63.43
"0675122",39.2,83.8,20.42
"0611964",54.4,82.3,18.76
"0653574",54.6,95.1,9.05
"0607274",54.6,95.1,9.05
"0603330",58,87.3,17.16
"0684592",57.7,87.5,15.56
"0639612",57.7,87.5,15.56
"0637134",39.2,83.8,20.42
"0605332",57.2,76.2,33.07
"0651294",51.2,89.3,43.5
"0624834",47.6,85.7,45.79
"0677378",53.6,95.9,18.99
"0651028",58.3,80.5,18.84
"0646100",51.8,90.4,35.24
"0617722",47.3,79,63.43
"0680364",55.2,88,16.75
"0636252",47.1,89.1,41.96
"0620284",54.6,95.1,9.05
"0678792",40.7,81.9,41.24
"0646926",53.6,95.9,18.99
"0680952",40.7,81.9,41.24
"0639283",53.4,70.9,35.5
"0614008",51.5,83.2,51.64
"0637274",54.3,79.7,42.05
"0616434",57.2,76.2,33.07
"0647013",52.1,95.6,6.24
"0663302",53.9,94.7,20.02
"0631246",40,81.5,38.84
"0631883",40.7,81.9,41.24
"0662854",54.6,95.1,9.05
"0639052",54.6,95.1,9.05
"0672282",52.4,92.8,37.74
"0624526",46.8,84.2,50.39
"0655528",39.4,78.9,15.63
"0619155",53,92.8,13.65
"0647472",39.2,83.8,20.42
"0668112",54.4,82.3,18.76
"0609360",61.8,99.3,8.49
"0637582",61,89.2,14.29
"0680896",45.5,82,40.86
"0637946",54.6,95.1,9.05
"0650034",52.2,91.2,34.28
"0645414",47.3,79,63.43
"0663050",64,82.2,13.55
"0627130",53.6,93.3,18.7
"0647430",64,82.2,13.55
"0684116",57.7,87.5,15.56
"0637554",57,99.4,6.86
"0607525",49.9,88.6,32.82
"0639759",54.6,95.1,9.05
"0651000",47.6,85.7,45.79
"0609122",47.1,89.1,41.96
"0651840",55.9,73,28.68
"0600310",38,82.8,18.08
"0653602",47.1,89.1,41.96
"0602770",52.2,91.2,34.28
"0681638",57.7,87.5,15.56
"0602910",51.9,93.7,25.9
"0684578",53,92.8,13.65
"0622457",61.8,99.3,8.49
"0651470",49.5,89.7,23.13
"0621188",45.5,82,40.86
"0636350",52.1,95.6,6.24
"0659604",50.4,91.8,36.54
"0638772",53.5,85.1,18.5
"0606210",53.5,85.1,18.5
"0618674",49,88.2,19.6
"0634405",52.1,95.6,6.24
"0611166",40.7,81.9,41.24
"0681048",39.4,78.9,15.63
"0668084",54.4,82.3,18.76
"0636672",51.8,90.4,35.24
"0670028",53.4,93.8,11.28
"0658422",48.1,86.8,21.84
"0639122",53.5,85.1,18.5
"0604772",40.7,81.9,41.24
"0646114",53.5,85.1,18.5
"0654232",53.5,85.1,18.5
"0657288",53.5,85.1,18.5
"0671372",47.3,79,63.43
"0614450",48.4,85.8,44.66
"0671848",41.3,80.2,45.78
"0612930",40.7,81.9,41.24
"0686916",49.9,88.6,32.82
"0644830",39.4,78.9,15.63
"0614442",51.2,92.3,44.43
"0671918",64,82.2,13.55
"0600562",54.4,82.3,18.76
"0657792",54.4,82.3,18.76
"0617995",38,82.8,18.08
"0646400",49,88.2,19.6
"0602980",54.4,82.3,18.76
"0609346",53.5,85.1,18.5
"0683402",57.7,87.5,15.56
"0646520",61.8,99.3,8.49
"0618926",54.6,95.1,9.05
"0625576",57.2,76.2,33.07
"0651476",58,87.3,17.16
"0616630",47.1,89.1,41.96
"0603546",54.6,95.1,9.05
"0653490",52.1,95.6,6.24
"0614904",45.5,82,40.86
"0658030",48.4,85.8,44.66
"0608478",57.2,76.2,33.07
"0642146",58.4,85.8,20.11
"0677934",54.6,95.1,9.05
"0611656",56.5,82.7,20.41
"0636910",48.1,86.8,21.84
"0681708",61.8,99.3,8.49
"0607624",61,89.2,14.29
"0649544",61.8,99.3,8.49
"0678138",61.8,99.3,8.49
"0600212",57.7,87.5,15.56
"0658940",54.6,95.1,9.05
"0653378",66.9,105.9,3.38
"0603026",39.4,78.9,15.63
"0659668",54.6,95.1,9.05
"0681722",54.6,95.1,9.05
"0621292",57.7,87.5,15.56
"0653910",54.6,95.1,9.05
"0638702",44.5,77.6,80.03
"0681792",53,92.8,13.65
"0611796",57.7,87.5,15.56
"0651042",38,82.8,18.08
"0647374",49.9,88.6,32.82
"0609834",38,82.8,18.08
"0673430",57.7,87.5,15.56
"0607596",61,89.2,14.29
"0604730",49.9,88.6,32.82
"0683612",53,92.8,13.65
"0685586",53.3,95.4,22.02
"0602112",52.2,91.2,34.28
"0646842",61.8,99.3,8.49
"0655856",49,88.2,19.6
"0667126",49,88.2,19.6
"0670882",49,88.2,19.6
"0629504",54.6,82.9,23.12
"0668378",53.5,85.1,18.5
"0614218",49,88.2,19.6
"0614274",49,88.2,19.6
"0646828",49,88.2,19.6
"0643294",54.6,82.9,23.12
"0648956",54.6,82.9,23.12
"0649278",54.6,82.9,23.12
"0655282",54.6,82.9,23.12
"0669084",54.6,82.9,23.12
"0634904",53,92.8,13.65
"0651140",53,92.8,13.65
"0661068",53,92.8,13.65
"0609710",66.9,105.9,3.38
"0634246",66.9,105.9,3.38
"0642202",53.1,92.5,14.06
"0645484",53.1,92.5,14.06
"0613210",57,99.4,6.86
"0630658",57,99.4,6.86
"0633434",57,99.4,6.86
"0661026",53.1,92.5,14.06
"0633588",57,99.4,6.86
"0650734",57,99.4,6.86
"0659451",57,99.4,6.86
"0660466",57,99.4,6.86
"0681344",57,99.4,6.86
"0622790",53.1,92.5,14.06
"0620242",40,81.5,38.84
"0683850",40,81.5,38.84
"0686944",40,81.5,38.84
"0651182",64,82.2,13.55
"0684550",64,82.2,13.55
"0645358",39.4,78.9,15.63
"0619318",48.1,86.8,21.84
"0623616",48.1,86.8,21.84
"0641712",48.1,86.8,21.84
"0636294",61,89.2,14.29
"0640004",61,89.2,14.29
"0658520",61,89.2,14.29
"0670224",61,89.2,14.29
"0659892",50.4,91.8,36.54
"0608506",53.9,94.7,20.02
"0672674",45.5,82,40.86
"0633632",55.9,73,28.68
"0625093",58.4,85.8,20.11
"0632036",47.1,89.1,41.96
"0611824",47.1,89.1,41.96
"0685250",47.1,89.1,41.96
"0601518",51.8,90.4,35.24
"0680210",64,82.2,13.55
"0632212",61,89.2,14.29
"0616210",52.2,91.2,34.28
"0629252",40,81.5,38.84
"0614190",54.3,79.7,42.05
"0616560",54.3,79.7,42.05
"0619570",52.2,91.2,34.28
"0648480",52.2,91.2,34.28
"0619402",53.8,88.8,19.8
"0660984",53.8,88.8,19.8
"0617022",44.5,77.6,80.03
"0662546",54.3,79.7,42.05
"0670770",54.3,79.7,42.05
"0672646",54.3,79.7,42.05
"0685922",54.3,79.7,42.05
"0675630",53.8,88.8,19.8
"0681554",53.8,88.8,19.8
"0684816",53.9,94.7,20.02
"0686034",53.9,94.7,20.02
"0664140",53.6,88.7,31.12
"0613588",53.6,93.3,18.7
"0628112",53.6,93.3,18.7
"0631134",40,81.5,38.84
"0659503",64,82.2,13.55
"0634694",40,81.5,38.84
"0649628",52.2,91.2,34.28
"0659220",52.2,91.2,34.28
"0664420",52.2,91.2,34.28
"0681890",52.2,91.2,34.28
"0647592",49,88.2,19.6
"0643140",47.6,85.7,45.79
"0605356",54.6,95.1,9.05
"0623158",54.6,95.1,9.05
"0660370",54.6,95.1,9.05
"0633689",54.6,95.1,9.05
"0619248",54.6,95.1,9.05
"0620907",53,92.8,13.65
"0664210",53,92.8,13.65
"0603209",53.1,92.5,14.06
"0641670",53.1,92.5,14.06
"0642104",53.1,92.5,14.06
"0603190",49,88.2,19.6
"0640746",49,88.2,19.6
"0673794",49,88.2,19.6
"0601458",54.6,82.9,23.12
"0608968",54.6,82.9,23.12
"0620598",54.6,82.9,23.12
"0673906",54.6,82.9,23.12
"0606635",57,99.4,6.86
"0646884",57,99.4,6.86
"0653987",53,92.8,13.65
"0663316",57,99.4,6.86
"0606928",53.5,85.1,18.5
"0649651",53.5,85.1,18.5
"0654764",53.5,85.1,18.5
"0682842",53.5,85.1,18.5
"0630798",46.8,84.2,50.39
"0680588",46.8,84.2,50.39
"0616224",54.3,97.6,7.61
"0631960",54.3,97.6,7.61
"0657540",48.4,85.8,44.66
"0673108",48.4,85.8,44.66
"0672576",58.3,80.5,18.84
"0625058",51.5,83.2,51.64
"0685600",51.5,83.2,51.64
"0641474",47.6,85.7,45.79
"0665070",55.9,73,28.68
"0673262",55.9,73,28.68
"0605108",55.9,73,28.68
"0620956",55.9,73,28.68
"0631708",55.9,73,28.68
"0660102",55.9,73,28.68
"0665028",55.9,73,28.68
"0619612",53.4,93.8,11.28
"0631568",53.4,93.8,11.28
"0642006",53.4,93.8,11.28
"0646898",53.4,93.8,11.28
"0669112",57.2,76.2,33.07
"0606798",52.1,95.6,6.24
"0638520",58.4,85.8,20.11
"0602868",58,87.3,17.16
"0603064",58,87.3,17.16
"0668154",58,87.3,17.16
"0613014",51.2,92.3,44.43
"0655520",51.2,92.3,44.43
"0660900",47.3,79,63.43
"0605164",53.4,70.9,35.5
"0640438",53.4,70.9,35.5
"0647710",53.4,70.9,35.5
"0652582",53.4,70.9,35.5
"0668364",53.4,70.9,35.5
"0641936",53.6,95.9,18.99
"0613294",49.5,89.7,23.13
"0645022",49.5,89.7,23.13
"0625380",64,82.2,13.55
"0608142",53.5,85.1,18.5
"0683332",57.7,87.5,15.56
"0638226",49,88.2,19.6
"0602553",53.6,93.3,18.7
"0611390",53.6,93.3,18.7
"0624498",53.6,93.3,18.7
"0636000",64,82.2,13.55
"0637692",61.8,99.3,8.49
"0684410",57.7,87.5,15.56
"0680000",57.7,87.5,15.56
"0636448",61.8,99.3,8.49
"0641992",54.4,82.3,18.76
"0610345",54.6,82.9,23.12
"0623168",53.4,70.9,35.5
"0639259",64,82.2,13.55
"0604996",57.7,87.5,15.56
"0602042",47.1,89.1,41.96
"0665084",64,82.2,13.55
"0680644",48.1,86.8,21.84
"0607946",57.7,87.5,15.56
"0614974",57.7,87.5,15.56
"0658380",55.9,73,28.68
