July 2023 Contiguous U.S. County Maximum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Period of Record: 129 Years,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-225,Peach County,Georgia,93,100,1.9,91.1
GA-227,Pickens County,Georgia,86.8,56,-0.6,87.4
GA-229,Pierce County,Georgia,95.8,125,3.4,92.4
GA-231,Pike County,Georgia,91.5,102,1.7,89.8
GA-233,Polk County,Georgia,90.4,73,0.2,90.2
GA-235,Pulaski County,Georgia,93.7,104,2.4,91.3
GA-237,Putnam County,Georgia,93,98,1.5,91.5
GA-239,Quitman County,Georgia,91.8,85,0.5,91.3
GA-241,Rabun County,Georgia,84.7,76,0.3,84.4
GA-243,Randolph County,Georgia,91.5,86,0.5,91
GA-245,Richmond County,Georgia,91.2,66,-0.1,91.3
GA-247,Rockdale County,Georgia,92.6,113,2.6,90
GA-249,Schley County,Georgia,91.8,87,0.7,91.1
GA-251,Screven County,Georgia,92.7,97,1.3,91.4
GA-253,Seminole County,Georgia,93,89,1.1,91.9
GA-255,Spalding County,Georgia,92,108,2,90
GA-257,Stephens County,Georgia,89.6,86,0.7,88.9
GA-259,Stewart County,Georgia,91.8,86,0.5,91.3
GA-261,Sumter County,Georgia,92.3,91,1,91.3
GA-263,Talbot County,Georgia,91.3,91,1.1,90.2
GA-265,Taliaferro County,Georgia,91.2,77,0.3,90.9
GA-267,Tattnall County,Georgia,94.6,106,2,92.6
GA-269,Taylor County,Georgia,92,94,1.2,90.8
GA-271,Telfair County,Georgia,94,111,2.2,91.8
GA-273,Terrell County,Georgia,92.1,87,0.8,91.3
GA-275,Thomas County,Georgia,93,112,1.9,91.1
GA-277,Tift County,Georgia,92.6,102,1.6,91
GA-279,Toombs County,Georgia,94.5,103,2,92.5
GA-281,Towns County,Georgia,84.2,87,0.6,83.6
GA-283,Treutlen County,Georgia,94,105,1.9,92.1
GA-285,Troup County,Georgia,90.7,83,0.5,90.2
GA-287,Turner County,Georgia,92.8,106,2.1,90.7
GA-289,Twiggs County,Georgia,93.5,101,2,91.5
GA-291,Union County,Georgia,84.4,83,0.4,84
GA-293,Upson County,Georgia,91.9,98,1.6,90.3
GA-295,Walker County,Georgia,88.8,66,-0.3,89.1
GA-297,Walton County,Georgia,92.1,105,2.3,89.8
GA-299,Ware County,Georgia,95.6,125,3.4,92.2
GA-301,Warren County,Georgia,91,75,0.2,90.8
GA-303,Washington County,Georgia,92.8,92,1.1,91.7
GA-305,Wayne County,Georgia,95.2,122,3.1,92.1
GA-307,Webster County,Georgia,91.6,80,0.4,91.2
GA-309,Wheeler County,Georgia,94.4,110,2.2,92.2
GA-311,White County,Georgia,86.9,91,0.8,86.1
GA-313,Whitfield County,Georgia,89.3,56,-0.5,89.8
GA-315,Wilcox County,Georgia,93.4,109,2.4,91
GA-317,Wilkes County,Georgia,90.9,75,0.2,90.7
GA-319,Wilkinson County,Georgia,93.6,99,1.7,91.9
GA-321,Worth County,Georgia,92.8,107,1.8,91
ID-001,Ada County,Idaho,94.5,108,3.5,91
ID-003,Adams County,Idaho,84,105,3.1,80.9
ID-005,Bannock County,Idaho,86.9,111,3.4,83.5
ID-007,Bear Lake County,Idaho,81.8,107,3.3,78.5
ID-009,Benewah County,Idaho,85.5,120,5.1,80.4
ID-011,Bingham County,Idaho,88.2,114,4.1,84.1
ID-013,Blaine County,Idaho,84.2,110,3.5,80.7
ID-015,Boise County,Idaho,84.4,102,3.1,81.3
ID-017,Bonner County,Idaho,82.3,119,4.8,77.5
ID-019,Bonneville County,Idaho,82.9,106,3.2,79.7
ID-021,Boundary County,Idaho,78.5,118,5.1,73.4
ID-023,Butte County,Idaho,85.8,112,4,81.8
ID-025,Camas County,Idaho,81.4,111,3.4,78
ID-027,Canyon County,Idaho,95.3,112,3.7,91.6
ID-029,Caribou County,Idaho,82.6,107,3.2,79.4
ID-031,Cassia County,Idaho,87.9,115,3.8,84.1
ID-033,Clark County,Idaho,82.3,107,3.5,78.8
ID-035,Clearwater County,Idaho,82.1,108,3.2,78.9
ID-037,Custer County,Idaho,79,110,3.8,75.2
ID-039,Elmore County,Idaho,89.2,114,3.8,85.4
ID-041,Franklin County,Idaho,86.2,113,3.8,82.4
ID-043,Fremont County,Idaho,81.5,106,3.3,78.2
ID-045,Gem County,Idaho,91.8,108,3.4,88.4
ID-047,Gooding County,Idaho,93.4,122,5.3,88.1
ID-049,Idaho County,Idaho,81.6,114,4.1,77.5
ID-051,Jefferson County,Idaho,89.5,113,4.2,85.3
ID-053,Jerome County,Idaho,93.1,121,5.5,87.6
ID-055,Kootenai County,Idaho,84.7,120,5,79.7
ID-057,Latah County,Idaho,86.3,117,4.7,81.6
ID-059,Lemhi County,Idaho,80.1,112,4.1,76
ID-061,Lewis County,Idaho,85.1,117,4.7,80.4
ID-063,Lincoln County,Idaho,92,121,5.7,86.3
ID-065,Madison County,Idaho,84.1,101,3,81.1
ID-067,Minidoka County,Idaho,91.2,115,4.3,86.9
ID-069,Nez Perce County,Idaho,89.8,118,5,84.8
ID-071,Oneida County,Idaho,88.6,112,3.6,85
ID-073,Owyhee County,Idaho,90.4,116,3.7,86.8
ID-075,Payette County,Idaho,94.9,113,3.6,91.3
ID-077,Power County,Idaho,89.3,116,3.9,85.4
ID-079,Shoshone County,Idaho,80.9,116,4.4,76.5
ID-081,Teton County,Idaho,80.2,101,3.1,77.1
ID-083,Twin Falls County,Idaho,90.3,120,4.1,86.2
ID-085,Valley County,Idaho,80.6,109,3.4,77.2
ID-087,Washington County,Idaho,89.9,110,3.4,86.5
IL-001,Adams County,Illinois,87.4,67,-0.8,88.2
IL-003,Alexander County,Illinois,89.3,66,-0.5,89.8
IL-005,Bond County,Illinois,88.7,90,0.5,88.2
IL-007,Boone County,Illinois,83.5,66,-0.4,83.9
IL-009,Brown County,Illinois,87.1,60,-0.9,88
IL-011,Bureau County,Illinois,84.2,48,-1.6,85.8
IL-013,Calhoun County,Illinois,88.6,74,-0.3,88.9
IL-015,Carroll County,Illinois,83.2,46,-1,84.2
IL-017,Cass County,Illinois,86.7,52,-1.3,88
IL-019,Champaign County,Illinois,84.9,50,-1.5,86.4
IL-021,Christian County,Illinois,87,73,-0.4,87.4
IL-023,Clark County,Illinois,86.8,65,-0.7,87.5
IL-025,Clay County,Illinois,88,75,-0.5,88.5
IL-027,Clinton County,Illinois,89.4,89,0.3,89.1
IL-029,Coles County,Illinois,86,54,-1.1,87.1
IL-031,Cook County,Illinois,83.6,62,-0.3,83.9
IL-033,Crawford County,Illinois,86.8,50,-1.3,88.1
IL-035,Cumberland County,Illinois,86.2,52,-1.4,87.6
IL-037,DeKalb County,Illinois,83.1,52,-1.3,84.4
IL-039,De Witt County,Illinois,85.2,55,-1.1,86.3
IL-041,Douglas County,Illinois,85.4,49,-1.5,86.9
IL-043,DuPage County,Illinois,83.9,62,-0.1,84
IL-045,Edgar County,Illinois,85.7,53,-1.2,86.9
IL-047,Edwards County,Illinois,88.2,66,-0.7,88.9
IL-049,Effingham County,Illinois,86.9,63,-0.8,87.7
IL-051,Fayette County,Illinois,88.3,89,0.3,88
IL-053,Ford County,Illinois,84.2,40,-2.2,86.4
IL-055,Franklin County,Illinois,89.2,76,-0.3,89.5
IL-057,Fulton County,Illinois,86.2,56,-1.2,87.4
IL-059,Gallatin County,Illinois,88.5,54,-1,89.5
IL-061,Greene County,Illinois,87.8,61,-1,88.8
IL-063,Grundy County,Illinois,84.5,49,-1.2,85.7
IL-065,Hamilton County,Illinois,89.2,82,0,89.2
IL-067,Hancock County,Illinois,85.6,43,-1.9,87.5
IL-069,Hardin County,Illinois,88.1,51,-1.3,89.4
IL-071,Henderson County,Illinois,85.1,49,-1.6,86.7
IL-073,Henry County,Illinois,84,47,-1.5,85.5
IL-075,Iroquois County,Illinois,84,33,-2.4,86.4
IL-077,Jackson County,Illinois,89,67,-0.6,89.6
IL-079,Jasper County,Illinois,86.1,34,-2,88.1
IL-081,Jefferson County,Illinois,89.9,92,0.5,89.4
IL-083,Jersey County,Illinois,88.4,76,-0.4,88.8
IL-085,Jo Daviess County,Illinois,83.1,61,-0.6,83.7
IL-087,Johnson County,Illinois,88,53,-1.2,89.2
IL-089,Kane County,Illinois,83.6,60,-0.4,84
IL-091,Kankakee County,Illinois,84,39,-2,86
IL-093,Kendall County,Illinois,84.2,60,-0.6,84.8
IL-095,Knox County,Illinois,84.4,44,-1.7,86.1
IL-097,Lake County,Illinois,82.9,65,-0.3,83.2
IL-099,LaSalle County,Illinois,84.3,52,-1.3,85.6
IL-101,Lawrence County,Illinois,87.2,46,-1.3,88.5
IL-103,Lee County,Illinois,83.7,51,-1.3,85
IL-105,Livingston County,Illinois,84.9,53,-1.2,86.1
IL-107,Logan County,Illinois,85.4,50,-1.6,87
IL-109,McDonough County,Illinois,85.2,41,-1.8,87
IL-111,McHenry County,Illinois,83.5,68,-0.2,83.7
IL-113,McLean County,Illinois,85.3,61,-0.9,86.2
IL-115,Macon County,Illinois,85.7,55,-1,86.7
IL-117,Macoupin County,Illinois,87.4,73,-0.6,88
IL-119,Madison County,Illinois,88.7,82,-0.2,88.9
IL-121,Marion County,Illinois,89.2,90,0.5,88.7
IL-123,Marshall County,Illinois,85,53,-1.2,86.2
IL-125,Mason County,Illinois,86.4,51,-1.6,88
IL-127,Massac County,Illinois,88.8,56,-1,89.8
IL-129,Menard County,Illinois,85.6,43,-2.2,87.8
IL-131,Mercer County,Illinois,85.1,58,-0.8,85.9
IL-133,Monroe County,Illinois,90.2,89,0.6,89.6
IL-135,Montgomery County,Illinois,87.6,86,0.2,87.4
IL-137,Morgan County,Illinois,86.7,58,-1,87.7
IL-139,Moultrie County,Illinois,85.8,54,-1.3,87.1
IL-141,Ogle County,Illinois,83.4,53,-1.1,84.5
IL-143,Peoria County,Illinois,86.1,65,-0.5,86.6
IL-145,Perry County,Illinois,89.1,74,-0.6,89.7
IL-147,Piatt County,Illinois,85.4,56,-1.1,86.5
IL-149,Pike County,Illinois,88.1,77,-0.4,88.5
IL-151,Pope County,Illinois,87.8,45,-1.5,89.3
IL-153,Pulaski County,Illinois,89.2,60,-0.7,89.9
IL-155,Putnam County,Illinois,85,52,-1.4,86.4
IL-157,Randolph County,Illinois,89,62,-0.8,89.8
IL-159,Richland County,Illinois,87.2,48,-1.4,88.6
IL-161,Rock Island County,Illinois,84.8,57,-0.7,85.5
IL-163,St. Clair County,Illinois,89.6,85,0.2,89.4
IL-165,Saline County,Illinois,88.4,58,-1,89.4
IL-167,Sangamon County,Illinois,86,48,-1.8,87.8
IL-169,Schuyler County,Illinois,86.2,49,-1.7,87.9
IL-171,Scott County,Illinois,87.4,60,-1,88.4
IL-173,Shelby County,Illinois,86.7,63,-0.7,87.4
IL-175,Stark County,Illinois,84.4,47,-1.7,86.1
IL-177,Stephenson County,Illinois,82.8,52,-1.2,84
IL-179,Tazewell County,Illinois,85.9,59,-0.9,86.8
IL-181,Union County,Illinois,88.6,67,-0.7,89.3
IL-183,Vermilion County,Illinois,84.5,38,-2.1,86.6
IL-185,Wabash County,Illinois,87.9,59,-0.8,88.7
IL-187,Warren County,Illinois,84.6,52,-1.4,86
IL-189,Washington County,Illinois,89.4,85,0.1,89.3
IL-191,Wayne County,Illinois,89.3,85,0.3,89
IL-193,White County,Illinois,88.7,73,-0.5,89.2
IL-195,Whiteside County,Illinois,84.3,57,-0.8,85.1
IL-197,Will County,Illinois,83.9,45,-1.3,85.2
IL-199,Williamson County,Illinois,88.1,59,-1.2,89.3
IL-201,Winnebago County,Illinois,83.7,66,-0.6,84.3
IL-203,Woodford County,Illinois,85.1,55,-1,86.1
IN-001,Adams County,Indiana,84.2,61,-0.6,84.8
IN-003,Allen County,Indiana,84,58,-0.9,84.9
IN-005,Bartholomew County,Indiana,85.6,51,-1.3,86.9
IN-007,Benton County,Indiana,83.7,38,-2.2,85.9
IN-009,Blackford County,Indiana,84.8,72,-0.5,85.3
IN-011,Boone County,Indiana,83.8,53,-1.5,85.3
IN-013,Brown County,Indiana,85,50,-1.3,86.3
IN-015,Carroll County,Indiana,84.1,45,-1.9,86
IN-017,Cass County,Indiana,84,46,-1.6,85.6
IN-019,Clark County,Indiana,86.7,43,-1.2,87.9
IN-021,Clay County,Indiana,87.1,79,0,87.1
IN-023,Clinton County,Indiana,83.9,50,-1.7,85.6
IN-025,Crawford County,Indiana,86,36,-2,88
IN-027,Daviess County,Indiana,87.6,73,-0.5,88.1
IN-029,Dearborn County,Indiana,85.2,52,-1,86.2
IN-031,Decatur County,Indiana,84.4,40,-1.8,86.2
IN-033,DeKalb County,Indiana,83.3,55,-0.9,84.2
IN-035,Delaware County,Indiana,84.7,68,-0.5,85.2
IN-037,Dubois County,Indiana,86.8,48,-1.4,88.2
IN-039,Elkhart County,Indiana,83.6,71,-0.4,84
IN-041,Fayette County,Indiana,83.8,47,-1.5,85.3
IN-043,Floyd County,Indiana,86.7,48,-1.1,87.8
IN-045,Fountain County,Indiana,84.3,35,-2.3,86.6
IN-047,Franklin County,Indiana,84.8,58,-1,85.8
IN-049,Fulton County,Indiana,84,55,-1,85
IN-051,Gibson County,Indiana,88.3,71,-0.3,88.6
IN-053,Grant County,Indiana,84.5,57,-1,85.5
IN-055,Greene County,Indiana,86.9,74,-0.1,87
IN-057,Hamilton County,Indiana,85,69,-0.7,85.7
IN-059,Hancock County,Indiana,84.3,48,-1.4,85.7
IN-061,Harrison County,Indiana,86.7,46,-1.2,87.9
IN-063,Hendricks County,Indiana,83.9,44,-1.8,85.7
IN-065,Henry County,Indiana,83.8,56,-1.1,84.9
IN-067,Howard County,Indiana,84,50,-1.6,85.6
IN-069,Huntington County,Indiana,83.8,43,-1.8,85.6
IN-071,Jackson County,Indiana,86.2,58,-0.9,87.1
IN-073,Jasper County,Indiana,83.7,41,-2,85.7
IN-075,Jay County,Indiana,84.4,70,-0.4,84.8
IN-077,Jefferson County,Indiana,85.7,46,-1.5,87.2
IN-079,Jennings County,Indiana,85.4,45,-1.6,87
IN-081,Johnson County,Indiana,84.5,47,-1.6,86.1
IN-083,Knox County,Indiana,87.8,65,-0.6,88.4
IN-085,Kosciusko County,Indiana,83.8,62,-0.8,84.6
IN-087,LaGrange County,Indiana,83.3,62,-0.6,83.9
IN-089,Lake County,Indiana,83.2,46,-1.5,84.7
IN-091,LaPorte County,Indiana,82.4,41,-1.6,84
IN-093,Lawrence County,Indiana,85.7,47,-1.4,87.1
IN-095,Madison County,Indiana,85,73,-0.6,85.6
IN-097,Marion County,Indiana,84.5,52,-1.4,85.9
IN-099,Marshall County,Indiana,83.8,70,-0.4,84.2
IN-101,Martin County,Indiana,87,69,-0.7,87.7
IN-103,Miami County,Indiana,84.2,54,-1.4,85.6
IN-105,Monroe County,Indiana,85,51,-1.5,86.5
IN-107,Montgomery County,Indiana,84,39,-2,86
IN-109,Morgan County,Indiana,85,52,-1.5,86.5
IN-111,Newton County,Indiana,84,43,-2,86
IN-113,Noble County,Indiana,83.2,58,-0.8,84
IN-115,Ohio County,Indiana,85.4,51,-1.1,86.5
IN-117,Orange County,Indiana,86,49,-1.4,87.4
IN-119,Owen County,Indiana,86.2,68,-0.6,86.8
IN-121,Parke County,Indiana,85.9,61,-1,86.9
IN-123,Perry County,Indiana,85.8,21,-2.7,88.5
IN-125,Pike County,Indiana,87.8,62,-0.6,88.4
IN-127,Porter County,Indiana,82.2,34,-2,84.2
IN-129,Posey County,Indiana,88.6,63,-0.7,89.3
IN-131,Pulaski County,Indiana,83.9,48,-1.4,85.3
IN-133,Putnam County,Indiana,84.8,49,-1.6,86.4
IN-135,Randolph County,Indiana,83.2,51,-1.2,84.4
IN-137,Ripley County,Indiana,84.4,50,-1.6,86
IN-139,Rush County,Indiana,83.9,40,-1.7,85.6
IN-141,St. Joseph County,Indiana,83.2,68,-0.6,83.8
IN-143,Scott County,Indiana,86.5,55,-1,87.5
IN-145,Shelby County,Indiana,84.4,35,-2,86.4
IN-147,Spencer County,Indiana,87,37,-1.9,88.9
IN-149,Starke County,Indiana,83.4,47,-1.3,84.7
IN-151,Steuben County,Indiana,82.6,56,-0.8,83.4
IN-153,Sullivan County,Indiana,87.9,84,0.3,87.6
IN-155,Switzerland County,Indiana,85.5,51,-1.2,86.7
IN-157,Tippecanoe County,Indiana,84,40,-2.2,86.2
IN-159,Tipton County,Indiana,84.6,62,-0.9,85.5
IN-161,Union County,Indiana,83.7,38,-1.6,85.3
IN-163,Vanderburgh County,Indiana,88.4,59,-0.7,89.1
IN-165,Vermillion County,Indiana,85.6,51,-1.5,87.1
IN-167,Vigo County,Indiana,87.4,79,0,87.4
IN-169,Wabash County,Indiana,84.3,50,-1.4,85.7
IN-171,Warren County,Indiana,83.9,34,-2.4,86.3
IN-173,Warrick County,Indiana,88,59,-0.8,88.8
IN-175,Washington County,Indiana,86,56,-0.9,86.9
IN-177,Wayne County,Indiana,82.8,29,-2,84.8
IN-179,Wells County,Indiana,84.1,50,-1.2,85.3
IN-181,White County,Indiana,84,45,-1.9,85.9
IN-183,Whitley County,Indiana,83.3,48,-1.4,84.7
IA-001,Adair County,Iowa,82.9,22,-3.6,86.5
IA-003,Adams County,Iowa,82.7,15,-4.3,87
IA-005,Allamakee County,Iowa,81.6,40,-1.7,83.3
IA-007,Appanoose County,Iowa,84.8,35,-2.5,87.3
IA-009,Audubon County,Iowa,82.5,21,-3.5,86
IA-011,Benton County,Iowa,84.5,66,-0.6,85.1
IA-013,Black Hawk County,Iowa,83.8,59,-0.6,84.4
IA-015,Boone County,Iowa,82.5,24,-3.5,86
IA-017,Bremer County,Iowa,82.3,42,-1.8,84.1
IA-019,Buchanan County,Iowa,83,57,-0.8,83.8
IA-021,Buena Vista County,Iowa,82.2,27,-2.7,84.9
IA-023,Butler County,Iowa,82.8,44,-1.6,84.4
IA-025,Calhoun County,Iowa,82.2,21,-3.6,85.8
IA-027,Carroll County,Iowa,83,28,-2.8,85.8
IA-029,Cass County,Iowa,82.9,18,-4,86.9
IA-031,Cedar County,Iowa,85.3,73,-0.1,85.4
IA-033,Cerro Gordo County,Iowa,82,43,-1.6,83.6
IA-035,Cherokee County,Iowa,82.5,23,-2.4,84.9
IA-037,Chickasaw County,Iowa,81.2,33,-2.4,83.6
IA-039,Clarke County,Iowa,84.7,38,-2.3,87
IA-041,Clay County,Iowa,82.5,27,-2.2,84.7
IA-043,Clayton County,Iowa,81.8,35,-2,83.8
IA-045,Clinton County,Iowa,84.9,73,0,84.9
IA-047,Crawford County,Iowa,83.9,45,-1.8,85.7
IA-049,Dallas County,Iowa,83.6,20,-3.5,87.1
IA-051,Davis County,Iowa,84.8,36,-2.4,87.2
IA-053,Decatur County,Iowa,84.7,39,-2.2,86.9
IA-055,Delaware County,Iowa,82.4,52,-1.1,83.5
IA-057,Des Moines County,Iowa,84.8,41,-1.9,86.7
IA-059,Dickinson County,Iowa,82,30,-2.1,84.1
IA-061,Dubuque County,Iowa,82.6,56,-0.7,83.3
IA-063,Emmet County,Iowa,82.3,42,-1.7,84
IA-065,Fayette County,Iowa,80.9,28,-2.7,83.6
IA-067,Floyd County,Iowa,82,38,-2,84
IA-069,Franklin County,Iowa,82.4,50,-1.3,83.7
IA-071,Fremont County,Iowa,84,13,-4.7,88.7
IA-073,Greene County,Iowa,81.8,14,-4.3,86.1
IA-075,Grundy County,Iowa,83,48,-1.4,84.4
IA-077,Guthrie County,Iowa,82.7,20,-3.7,86.4
IA-079,Hamilton County,Iowa,82.3,28,-2.8,85.1
IA-081,Hancock County,Iowa,81.8,33,-2.3,84.1
IA-083,Hardin County,Iowa,82.7,41,-1.7,84.4
IA-085,Harrison County,Iowa,83.4,22,-3.5,86.9
IA-087,Henry County,Iowa,84.9,44,-2,86.9
IA-089,Howard County,Iowa,80.9,42,-1.7,82.6
IA-091,Humboldt County,Iowa,82.2,25,-3,85.2
IA-093,Ida County,Iowa,83.4,34,-1.9,85.3
IA-095,Iowa County,Iowa,85.1,60,-0.7,85.8
IA-097,Jackson County,Iowa,84.2,71,0.1,84.1
IA-099,Jasper County,Iowa,83.8,33,-2.5,86.3
IA-101,Jefferson County,Iowa,84.2,32,-2.5,86.7
IA-103,Johnson County,Iowa,85.9,74,0,85.9
IA-105,Jones County,Iowa,84.4,72,-0.1,84.5
IA-107,Keokuk County,Iowa,84.4,44,-1.7,86.1
IA-109,Kossuth County,Iowa,82.7,43,-1.6,84.3
IA-111,Lee County,Iowa,85.2,37,-2.2,87.4
IA-113,Linn County,Iowa,84.9,72,-0.2,85.1
IA-115,Louisa County,Iowa,85.5,61,-0.9,86.4
IA-117,Lucas County,Iowa,84.4,35,-2.4,86.8
IA-119,Lyon County,Iowa,81.6,16,-3.7,85.3
IA-121,Madison County,Iowa,85,38,-2.4,87.4
IA-123,Mahaska County,Iowa,83.9,29,-2.7,86.6
IA-125,Marion County,Iowa,83.3,19,-3.8,87.1
IA-127,Marshall County,Iowa,83.8,44,-1.6,85.4
IA-129,Mills County,Iowa,84,17,-3.9,87.9
IA-131,Mitchell County,Iowa,81.6,50,-1.4,83
IA-133,Monona County,Iowa,84.4,34,-2.1,86.5
IA-135,Monroe County,Iowa,84.3,31,-2.9,87.2
IA-137,Montgomery County,Iowa,83.3,15,-4.3,87.6
IA-139,Muscatine County,Iowa,84.9,55,-1.1,86
IA-141,O'Brien County,Iowa,82.3,22,-2.8,85.1
IA-143,Osceola County,Iowa,81.9,23,-2.7,84.6
IA-145,Page County,Iowa,83,12,-5,88
IA-147,Palo Alto County,Iowa,82.8,40,-1.7,84.5
IA-149,Plymouth County,Iowa,83.2,24,-2.6,85.8
IA-151,Pocahontas County,Iowa,82.3,24,-2.8,85.1
IA-153,Polk County,Iowa,83.8,27,-3.3,87.1
IA-155,Pottawattamie County,Iowa,83.5,19,-3.7,87.2
IA-157,Poweshiek County,Iowa,84.1,49,-1.5,85.6
IA-159,Ringgold County,Iowa,84.4,35,-2.5,86.9
IA-161,Sac County,Iowa,83.1,32,-2.3,85.4
IA-163,Scott County,Iowa,84.7,66,-0.4,85.1
IA-165,Shelby County,Iowa,83,21,-3.4,86.4
IA-167,Sioux County,Iowa,82.2,19,-3.5,85.7
IA-169,Story County,Iowa,83.2,27,-2.6,85.8
IA-171,Tama County,Iowa,83.7,48,-1.3,85
IA-173,Taylor County,Iowa,82.9,15,-4.1,87
IA-175,Union County,Iowa,84.1,32,-2.8,86.9
IA-177,Van Buren County,Iowa,84.4,31,-2.7,87.1
IA-179,Wapello County,Iowa,84.3,30,-2.8,87.1
IA-181,Warren County,Iowa,84.5,28,-3.2,87.7
IA-183,Washington County,Iowa,85.4,64,-0.7,86.1
IA-185,Wayne County,Iowa,84.6,36,-2.3,86.9
IA-187,Webster County,Iowa,81.6,19,-3.9,85.5
IA-189,Winnebago County,Iowa,80.9,28,-2.5,83.4
IA-191,Winneshiek County,Iowa,81.7,49,-1.3,83
IA-193,Woodbury County,Iowa,84.5,39,-1.5,86
IA-195,Worth County,Iowa,81.3,39,-1.8,83.1
IA-197,Wright County,Iowa,82,31,-2.5,84.5
KS-001,Allen County,Kansas,89.7,63,-1,90.7
KS-003,Anderson County,Kansas,89.2,62,-1,90.2
KS-005,Atchison County,Kansas,87.3,48,-1.8,89.1
KS-007,Barber County,Kansas,92.3,38,-2.1,94.4
KS-009,Barton County,Kansas,91.2,49,-1.3,92.5
KS-011,Bourbon County,Kansas,90.1,69,-0.4,90.5
KS-013,Brown County,Kansas,86.2,34,-2.6,88.8
KS-015,Butler County,Kansas,92.2,80,0.5,91.7
KS-017,Chase County,Kansas,91.4,78,0.4,91
KS-019,Chautauqua County,Kansas,92,75,-0.3,92.3
KS-021,Cherokee County,Kansas,92.3,94,1.1,91.2
KS-023,Cheyenne County,Kansas,89.8,56,-0.5,90.3
KS-025,Clark County,Kansas,92,28,-2.5,94.5
KS-027,Clay County,Kansas,91.1,66,-0.7,91.8
KS-029,Cloud County,Kansas,91.4,70,-0.1,91.5
KS-031,Coffey County,Kansas,90.7,75,0.3,90.4
KS-033,Comanche County,Kansas,91.6,21,-2.9,94.5
KS-035,Cowley County,Kansas,91.6,67,-0.9,92.5
KS-037,Crawford County,Kansas,91.2,83,0.6,90.6
KS-039,Decatur County,Kansas,89.2,36,-2.2,91.4
KS-041,Dickinson County,Kansas,91.8,70,-0.2,92
KS-043,Doniphan County,Kansas,86.3,34,-2.8,89.1
KS-045,Douglas County,Kansas,89,63,-0.7,89.7
KS-047,Edwards County,Kansas,91.3,45,-1.6,92.9
KS-049,Elk County,Kansas,91.8,79,0.4,91.4
KS-051,Ellis County,Kansas,91.8,57,-0.8,92.6
KS-053,Ellsworth County,Kansas,92.8,74,0.1,92.7
KS-055,Finney County,Kansas,91.6,50,-0.8,92.4
KS-057,Ford County,Kansas,91.5,42,-1.6,93.1
KS-059,Franklin County,Kansas,89.2,68,-0.8,90
KS-061,Geary County,Kansas,90.6,61,-0.8,91.4
KS-063,Gove County,Kansas,90.1,29,-2.1,92.2
KS-065,Graham County,Kansas,90.4,39,-1.8,92.2
KS-067,Grant County,Kansas,91.4,31,-2,93.4
KS-069,Gray County,Kansas,92,59,-0.6,92.6
KS-071,Greeley County,Kansas,88,24,-2.4,90.4
KS-073,Greenwood County,Kansas,91.9,86,0.9,91
KS-075,Hamilton County,Kansas,89.9,25,-2.2,92.1
KS-077,Harper County,Kansas,92.3,39,-2.4,94.7
KS-079,Harvey County,Kansas,92.8,80,0.4,92.4
KS-081,Haskell County,Kansas,91.4,42,-1.6,93
KS-083,Hodgeman County,Kansas,92.2,51,-1,93.2
KS-085,Jackson County,Kansas,88,49,-1.8,89.8
KS-087,Jefferson County,Kansas,88.2,53,-1.2,89.4
KS-089,Jewell County,Kansas,89.6,46,-1.7,91.3
KS-091,Johnson County,Kansas,88.5,68,-0.6,89.1
KS-093,Kearny County,Kansas,90.8,36,-1.4,92.2
KS-095,Kingman County,Kansas,91.6,43,-1.9,93.5
KS-097,Kiowa County,Kansas,91.1,35,-2.3,93.4
KS-099,Labette County,Kansas,91.2,71,-0.5,91.7
KS-101,Lane County,Kansas,90.9,38,-1.5,92.4
KS-103,Leavenworth County,Kansas,88.4,60,-0.8,89.2
KS-105,Lincoln County,Kansas,92.6,72,0,92.6
KS-107,Linn County,Kansas,89.2,62,-0.9,90.1
KS-109,Logan County,Kansas,89.8,32,-1.7,91.5
KS-111,Lyon County,Kansas,91.1,82,0.6,90.5
KS-113,McPherson County,Kansas,93,80,1,92
KS-115,Marion County,Kansas,91.8,80,0.3,91.5
KS-117,Marshall County,Kansas,86.4,18,-4.1,90.5
KS-119,Meade County,Kansas,92,35,-1.6,93.6
KS-121,Miami County,Kansas,88.4,58,-1.1,89.5
KS-123,Mitchell County,Kansas,90.5,46,-1.8,92.3
KS-125,Montgomery County,Kansas,91.7,69,-0.6,92.3
KS-127,Morris County,Kansas,90.6,74,0,90.6
KS-129,Morton County,Kansas,91.6,30,-1.9,93.5
KS-131,Nemaha County,Kansas,85.8,25,-3.7,89.5
KS-133,Neosho County,Kansas,90.5,63,-0.7,91.2
KS-135,Ness County,Kansas,91.7,42,-1.4,93.1
KS-137,Norton County,Kansas,89.1,33,-2.3,91.4
KS-139,Osage County,Kansas,90.4,79,0.4,90
KS-141,Osborne County,Kansas,90.6,41,-2.2,92.8
KS-143,Ottawa County,Kansas,92.6,83,0.7,91.9
KS-145,Pawnee County,Kansas,91.1,49,-1.4,92.5
KS-147,Phillips County,Kansas,89,26,-3.2,92.2
KS-149,Pottawatomie County,Kansas,88.7,49,-2.1,90.8
KS-151,Pratt County,Kansas,91.4,49,-1.3,92.7
KS-153,Rawlins County,Kansas,88.7,28,-2.3,91
