December 2022 - November 2023 Contiguous U.S. County Precipitation,,,,,,
Units: Inches,,,,,,
Missing: -99,,,,,,
Period of Record: 128 Years,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-073,Jefferson County,Alabama,47.17,24,-8.34,55.51
AL-075,Lamar County,Alabama,52.59,55,-2.36,54.95
AL-077,Lauderdale County,Alabama,49.17,38,-4.81,53.98
AL-079,Lawrence County,Alabama,49.29,39,-4.12,53.41
AL-081,Lee County,Alabama,54.06,75,1.76,52.3
AL-083,Limestone County,Alabama,50.12,51,-3.59,53.71
AL-085,Lowndes County,Alabama,51.47,60,-0.88,52.35
AL-087,Macon County,Alabama,53.77,80,2.05,51.72
AL-089,Madison County,Alabama,50.62,46,-3.74,54.36
AL-091,Marengo County,Alabama,50.84,45,-3.33,54.17
AL-093,Marion County,Alabama,55.1,64,-0.49,55.59
AL-095,Marshall County,Alabama,52,51,-2.39,54.39
AL-097,Mobile County,Alabama,54.23,27,-8.28,62.51
AL-099,Monroe County,Alabama,49.38,26,-7.86,57.24
AL-101,Montgomery County,Alabama,55.18,84,3.07,52.11
AL-103,Morgan County,Alabama,52.17,58,-1.79,53.96
AL-105,Perry County,Alabama,47.54,34,-6.03,53.57
AL-107,Pickens County,Alabama,56.76,89,3.37,53.39
AL-109,Pike County,Alabama,56.7,80,2.33,54.37
AL-111,Randolph County,Alabama,54.42,59,-0.25,54.67
AL-113,Russell County,Alabama,49.82,66,-0.04,49.86
AL-115,St. Clair County,Alabama,53.74,56,-1.35,55.09
AL-117,Shelby County,Alabama,49.18,34,-5.67,54.85
AL-119,Sumter County,Alabama,50.99,44,-3.1,54.09
AL-121,Talladega County,Alabama,57.1,81,3.42,53.68
AL-123,Tallapoosa County,Alabama,57.16,81,2.93,54.23
AL-125,Tuscaloosa County,Alabama,49.09,31,-6.31,55.4
AL-127,Walker County,Alabama,48.6,24,-7.91,56.51
AL-129,Washington County,Alabama,59.98,68,0.28,59.7
AL-131,Wilcox County,Alabama,49.86,38,-4.39,54.25
AL-133,Winston County,Alabama,54.28,51,-2.15,56.43
AZ-001,Apache County,Arizona,11.75,45,-1.7,13.45
AZ-003,Cochise County,Arizona,9.29,5,-5.34,14.63
AZ-005,Coconino County,Arizona,14.87,93,1.29,13.58
AZ-007,Gila County,Arizona,19.3,60,-1.42,20.72
AZ-009,Graham County,Arizona,13.04,38,-2.2,15.24
AZ-011,Greenlee County,Arizona,14.49,35,-2.28,16.77
AZ-012,La Paz County,Arizona,5.27,61,-0.69,5.96
AZ-013,Maricopa County,Arizona,7.61,46,-1.65,9.26
AZ-015,Mohave County,Arizona,11.55,89,0.99,10.56
AZ-017,Navajo County,Arizona,11.55,68,-0.79,12.34
AZ-019,Pima County,Arizona,9.37,24,-3.13,12.5
AZ-021,Pinal County,Arizona,10.67,50,-1.85,12.52
AZ-023,Santa Cruz County,Arizona,12.61,10,-5.82,18.43
AZ-025,Yavapai County,Arizona,15.46,61,-0.81,16.27
AZ-027,Yuma County,Arizona,4.61,71,-0.27,4.88
AR-001,Arkansas County,Arkansas,51.16,72,0.14,51.02
AR-003,Ashley County,Arkansas,50.06,61,-3.02,53.08
AR-005,Baxter County,Arkansas,53.76,113,10.39,43.37
AR-007,Benton County,Arkansas,51.8,100,6.52,45.28
AR-009,Boone County,Arkansas,46.3,79,2.66,43.64
AR-011,Bradley County,Arkansas,58.92,93,6.88,52.04
AR-013,Calhoun County,Arkansas,62.39,106,10.71,51.68
AR-015,Carroll County,Arkansas,46.99,84,2.34,44.65
AR-017,Chicot County,Arkansas,44.04,30,-8.94,52.98
AR-019,Clark County,Arkansas,61.2,108,9.58,51.62
AR-021,Clay County,Arkansas,50.26,81,2.51,47.75
AR-023,Cleburne County,Arkansas,57.19,104,7.2,49.99
AR-025,Cleveland County,Arkansas,59.24,102,7.65,51.59
AR-027,Columbia County,Arkansas,58.61,97,7.4,51.21
AR-029,Conway County,Arkansas,53.13,86,4.12,49.01
AR-031,Craighead County,Arkansas,56.51,104,8.05,48.46
AR-033,Crawford County,Arkansas,47.96,69,0.27,47.69
AR-035,Crittenden County,Arkansas,53.77,81,3.84,49.93
AR-037,Cross County,Arkansas,52.79,82,2.46,50.33
AR-039,Dallas County,Arkansas,60.71,107,9.37,51.34
AR-041,Desha County,Arkansas,51.55,68,0.05,51.5
AR-043,Drew County,Arkansas,52.76,73,0.12,52.64
AR-045,Faulkner County,Arkansas,55.57,94,5.28,50.29
AR-047,Franklin County,Arkansas,50.26,81,2.18,48.08
AR-049,Fulton County,Arkansas,50.8,93,5.59,45.21
AR-051,Garland County,Arkansas,58.94,101,6.33,52.62
AR-053,Grant County,Arkansas,57.56,94,6.05,51.51
AR-055,Greene County,Arkansas,53.2,100,5.48,47.72
AR-057,Hempstead County,Arkansas,65.72,116,15.06,50.66
AR-059,Hot Spring County,Arkansas,58.06,97,5.69,52.37
AR-061,Howard County,Arkansas,66.08,114,14.06,52.02
AR-063,Independence County,Arkansas,58.06,107,9.73,48.33
AR-065,Izard County,Arkansas,55.39,111,9.67,45.72
AR-067,Jackson County,Arkansas,55.86,104,7.17,48.69
AR-069,Jefferson County,Arkansas,53.92,86,2.71,51.21
AR-071,Johnson County,Arkansas,53.08,89,3.67,49.41
AR-073,Lafayette County,Arkansas,58.75,103,8.79,49.96
AR-075,Lawrence County,Arkansas,52.91,97,5.49,47.42
AR-077,Lee County,Arkansas,52.54,73,1.49,51.05
AR-079,Lincoln County,Arkansas,54.77,82,2.5,52.27
AR-081,Little River County,Arkansas,62.27,117,13.51,48.76
AR-083,Logan County,Arkansas,50.23,86,3.44,46.79
AR-085,Lonoke County,Arkansas,55.65,94,5.59,50.06
AR-087,Madison County,Arkansas,48.04,71,0.4,47.64
AR-089,Marion County,Arkansas,48.13,94,5.19,42.94
AR-091,Miller County,Arkansas,60.01,111,10.99,49.02
AR-093,Mississippi County,Arkansas,53.87,93,5.37,48.5
AR-095,Monroe County,Arkansas,49.33,62,-1.21,50.54
AR-097,Montgomery County,Arkansas,64.22,110,11.76,52.46
AR-099,Nevada County,Arkansas,61.36,109,10.21,51.15
AR-101,Newton County,Arkansas,46.69,56,-1.49,48.18
AR-103,Ouachita County,Arkansas,60.14,106,8.72,51.42
AR-105,Perry County,Arkansas,53.41,91,4.43,48.98
AR-107,Phillips County,Arkansas,51.41,65,-0.25,51.66
AR-109,Pike County,Arkansas,69.22,117,16.26,52.96
AR-111,Poinsett County,Arkansas,56.54,103,7.47,49.07
AR-113,Polk County,Arkansas,61.59,103,8.76,52.83
AR-115,Pope County,Arkansas,54.28,94,4.94,49.34
AR-117,Prairie County,Arkansas,50.24,75,0.16,50.08
AR-119,Pulaski County,Arkansas,58.31,99,7.61,50.7
AR-121,Randolph County,Arkansas,51.13,86,3.94,47.19
AR-123,St. Francis County,Arkansas,51.37,70,0.51,50.86
AR-125,Saline County,Arkansas,60.22,102,8.06,52.16
AR-127,Scott County,Arkansas,56.14,97,7.79,48.35
AR-129,Searcy County,Arkansas,52.67,99,6.27,46.4
AR-131,Sebastian County,Arkansas,51.55,94,6.17,45.38
AR-133,Sevier County,Arkansas,62.65,113,11.99,50.66
AR-135,Sharp County,Arkansas,52.55,90,5.61,46.94
AR-137,Stone County,Arkansas,57.98,112,10.4,47.58
AR-139,Union County,Arkansas,60.89,101,8.63,52.26
AR-141,Van Buren County,Arkansas,54.46,89,3.96,50.5
AR-143,Washington County,Arkansas,48.66,77,1.58,47.08
AR-145,White County,Arkansas,52.98,81,2.79,50.19
AR-147,Woodruff County,Arkansas,48.92,66,-0.96,49.88
AR-149,Yell County,Arkansas,51,83,2.77,48.23
CA-001,Alameda County,California,30.34,125,11.58,18.76
CA-003,Alpine County,California,61.03,125,24.88,36.15
CA-005,Amador County,California,54.58,124,19.34,35.24
CA-007,Butte County,California,51.22,91,6.79,44.43
CA-009,Calaveras County,California,52.98,124,18.7,34.28
CA-011,Colusa County,California,30.08,112,8.06,22.02
CA-013,Contra Costa County,California,29.63,124,11.13,18.5
CA-015,Del Norte County,California,74.95,55,-5.08,80.03
CA-017,El Dorado County,California,66.93,124,22.27,44.66
CA-019,Fresno County,California,32.64,124,13.04,19.6
CA-021,Glenn County,California,33.66,108,7.76,25.9
CA-023,Humboldt County,California,69.04,86,5.61,63.43
CA-025,Imperial County,California,3.46,87,0.08,3.38
CA-027,Inyo County,California,9.74,121,3.5,6.24
CA-029,Kern County,California,14.34,119,5.29,9.05
CA-031,Kings County,California,13.35,124,5.74,7.61
CA-033,Lake County,California,58.41,109,14.91,43.5
CA-035,Lassen County,California,25.02,102,4.6,20.42
CA-037,Los Angeles County,California,25.52,118,9.96,15.56
CA-039,Madera County,California,34.08,120,10.95,23.13
CA-041,Marin County,California,48.35,114,12.85,35.5
CA-043,Mariposa County,California,52.97,124,20.15,32.82
CA-045,Mendocino County,California,61.69,97,10.05,51.64
CA-047,Merced County,California,18.83,123,7.55,11.28
CA-049,Modoc County,California,21.73,108,3.65,18.08
CA-051,Mono County,California,30.63,128,15,15.63
CA-053,Monterey County,California,32.52,121,12.42,20.11
CA-055,Napa County,California,43.57,113,12.45,31.12
CA-057,Nevada County,California,69.39,117,19,50.39
CA-059,Orange County,California,21.55,116,8,13.55
CA-061,Placer County,California,67.19,122,21.4,45.79
CA-063,Plumas County,California,55.94,113,14.7,41.24
CA-065,Riverside County,California,9.98,95,1.49,8.49
CA-067,Sacramento County,California,26.77,118,8.07,18.7
CA-069,San Benito County,California,25.04,119,8.29,16.75
CA-071,San Bernardino County,California,7.69,92,0.83,6.86
CA-073,San Diego County,California,21.61,114,7.32,14.29
CA-075,San Francisco County,California,38.71,125,14.4,24.31
CA-077,San Joaquin County,California,23.38,125,9.32,14.06
CA-079,San Luis Obispo County,California,32.15,125,14.99,17.16
CA-081,San Mateo County,California,44.34,123,15.66,28.68
CA-083,Santa Barbara County,California,32.93,122,14.09,18.84
CA-085,Santa Clara County,California,38.32,125,15.2,23.12
CA-087,Santa Cruz County,California,54.17,123,21.1,33.07
CA-089,Shasta County,California,49.64,96,7.68,41.96
CA-091,Sierra County,California,63.69,114,17.91,45.78
CA-093,Siskiyou County,California,38.04,68,-0.8,38.84
CA-095,Solano County,California,30.8,121,11,19.8
CA-097,Sonoma County,California,55.24,108,13.19,42.05
CA-099,Stanislaus County,California,23.01,126,9.36,13.65
CA-101,Sutter County,California,25.69,116,6.7,18.99
CA-103,Tehama County,California,45.02,96,8.48,36.54
CA-105,Trinity County,California,66.29,97,8.77,57.52
CA-107,Tulare County,California,36.1,123,14.26,21.84
CA-109,Tuolumne County,California,68.28,125,27.42,40.86
CA-111,Ventura County,California,36.74,119,16.33,20.41
CA-113,Yolo County,California,29.59,119,9.57,20.02
CA-115,Yuba County,California,45.86,101,8.12,37.74
CO-001,Adams County,Colorado,23.93,128,8.76,15.17
CO-003,Alamosa County,Colorado,7.55,10,-2.83,10.38
CO-005,Arapahoe County,Colorado,24.94,128,9.03,15.91
CO-007,Archuleta County,Colorado,21.66,56,-1.73,23.39
CO-009,Baca County,Colorado,19.86,111,3.89,15.97
CO-011,Bent County,Colorado,17.58,113,3.73,13.85
CO-013,Boulder County,Colorado,24.09,109,4.01,20.08
CO-014,Broomfield County,Colorado,21.11,124,6.38,14.73
CO-015,Chaffee County,Colorado,17.27,62,-0.35,17.62
CO-017,Cheyenne County,Colorado,16.19,81,0.84,15.35
CO-019,Clear Creek County,Colorado,26.99,76,0.96,26.03
CO-021,Conejos County,Colorado,15.18,39,-2.05,17.23
CO-023,Costilla County,Colorado,13.07,10,-4.52,17.59
CO-025,Crowley County,Colorado,14.44,106,2.46,11.98
CO-027,Custer County,Colorado,17.85,34,-2.62,20.47
CO-029,Delta County,Colorado,18.66,87,0.99,17.67
CO-031,Denver County,Colorado,21.22,125,6.2,15.02
CO-033,Dolores County,Colorado,22.91,69,-0.43,23.34
CO-035,Douglas County,Colorado,25.16,126,6.92,18.24
CO-037,Eagle County,Colorado,22.95,60,-1.09,24.04
CO-039,Elbert County,Colorado,24.2,126,7.63,16.57
CO-041,El Paso County,Colorado,21.97,122,5.95,16.02
CO-043,Fremont County,Colorado,14.04,69,-0.24,14.28
CO-045,Garfield County,Colorado,26.44,107,3.93,22.51
CO-047,Gilpin County,Colorado,25.81,98,2.93,22.88
CO-049,Grand County,Colorado,22.95,83,0.57,22.38
CO-051,Gunnison County,Colorado,23.08,73,-0.16,23.24
CO-053,Hinsdale County,Colorado,28.49,49,-2.44,30.93
CO-055,Huerfano County,Colorado,15.07,29,-2.81,17.88
CO-057,Jackson County,Colorado,23.86,78,0.72,23.14
CO-059,Jefferson County,Colorado,22.06,109,3.87,18.19
CO-061,Kiowa County,Colorado,17.92,113,3.71,14.21
CO-063,Kit Carson County,Colorado,18.16,92,1.34,16.82
CO-065,Lake County,Colorado,22.69,49,-1.55,24.24
CO-067,La Plata County,Colorado,20.95,45,-2.47,23.42
CO-069,Larimer County,Colorado,23.65,105,3.69,19.96
CO-071,Las Animas County,Colorado,15.15,53,-1.11,16.26
CO-073,Lincoln County,Colorado,17.52,114,3.26,14.26
CO-075,Logan County,Colorado,20.09,113,3.46,16.63
CO-077,Mesa County,Colorado,17.31,79,0.41,16.9
CO-079,Mineral County,Colorado,28.83,63,-1.76,30.59
CO-081,Moffat County,Colorado,15.5,76,0.64,14.86
CO-083,Montezuma County,Colorado,17.58,81,0.4,17.18
CO-085,Montrose County,Colorado,15.67,78,0.16,15.51
CO-087,Morgan County,Colorado,23.82,127,9.3,14.52
CO-089,Otero County,Colorado,15.85,104,2.47,13.38
CO-091,Ouray County,Colorado,20.08,41,-2.28,22.36
CO-093,Park County,Colorado,17.98,83,0.61,17.37
CO-095,Phillips County,Colorado,19.16,84,1.23,17.93
CO-097,Pitkin County,Colorado,30,75,0.84,29.16
CO-099,Prowers County,Colorado,19.61,109,4.46,15.15
CO-101,Pueblo County,Colorado,14.56,87,1,13.56
CO-103,Rio Blanco County,Colorado,20.97,102,2.11,18.86
CO-105,Rio Grande County,Colorado,10.74,12,-3.86,14.6
CO-107,Routt County,Colorado,26.7,89,1.63,25.07
CO-109,Saguache County,Colorado,13.7,26,-2.94,16.64
CO-111,San Juan County,Colorado,41.72,76,-0.05,41.77
CO-113,San Miguel County,Colorado,18.39,63,-0.71,19.1
CO-115,Sedgwick County,Colorado,19.55,83,1.45,18.1
CO-117,Summit County,Colorado,24.63,50,-1.91,26.54
CO-119,Teller County,Colorado,20.58,92,1.42,19.16
CO-121,Washington County,Colorado,22.16,123,5.66,16.5
CO-123,Weld County,Colorado,19.69,126,5.84,13.85
CO-125,Yuma County,Colorado,18.17,73,0.61,17.56
CT-001,Fairfield County,Connecticut,53.37,102,5.58,47.79
CT-003,Hartford County,Connecticut,62.15,125,15.66,46.49
CT-005,Litchfield County,Connecticut,61.57,125,13.37,48.2
CT-007,Middlesex County,Connecticut,55.45,111,8.69,46.76
CT-009,New Haven County,Connecticut,56.98,113,9.47,47.51
CT-011,New London County,Connecticut,50.08,96,4.42,45.66
CT-013,Tolland County,Connecticut,60.51,124,14.89,45.62
CT-015,Windham County,Connecticut,57.6,120,11.89,45.72
DE-001,Kent County,Delaware,40.38,50,-2.67,43.05
DE-003,New Castle County,Delaware,42.83,65,-0.37,43.2
DE-005,Sussex County,Delaware,40.25,38,-3.35,43.6
FL-001,Alachua County,Florida,53.61,71,1.02,52.59
FL-003,Baker County,Florida,47.38,45,-4.13,51.51
FL-005,Bay County,Florida,46.62,16,-11.87,58.49
FL-007,Bradford County,Florida,51.36,60,-0.9,52.26
FL-009,Brevard County,Florida,54.86,91,4.41,50.45
FL-011,Broward County,Florida,74.88,123,17.83,57.05
FL-013,Calhoun County,Florida,43,10,-15.12,58.12
FL-015,Charlotte County,Florida,43.76,20,-7.1,50.86
FL-017,Citrus County,Florida,45.46,18,-7.83,53.29
FL-019,Clay County,Florida,51.21,61,-0.63,51.84
FL-021,Collier County,Florida,49.25,46,-2.85,52.1
FL-023,Columbia County,Florida,48.16,45,-3.38,51.54
FL-027,DeSoto County,Florida,48.58,49,-2.77,51.35
FL-029,Dixie County,Florida,54.75,71,1.02,53.73
FL-031,Duval County,Florida,49.84,59,-0.38,50.22
FL-033,Escambia County,Florida,50.41,15,-11.84,62.25
FL-035,Flagler County,Florida,51.57,65,-0.28,51.85
FL-037,Franklin County,Florida,54.63,58,-3.66,58.29
FL-039,Gadsden County,Florida,41.29,9,-15.31,56.6
FL-041,Gilchrist County,Florida,52.59,63,-0.2,52.79
FL-043,Glades County,Florida,47.33,44,-2.94,50.27
FL-045,Gulf County,Florida,51.88,39,-6.64,58.52
FL-047,Hamilton County,Florida,49.96,56,-1.9,51.86
FL-049,Hardee County,Florida,47.78,33,-4.69,52.47
FL-051,Hendry County,Florida,42.53,18,-9.3,51.83
FL-053,Hernando County,Florida,44.97,16,-8.51,53.48
FL-055,Highlands County,Florida,55.44,96,5,50.44
FL-057,Hillsborough County,Florida,42.81,11,-9.47,52.28
FL-059,Holmes County,Florida,42.84,7,-14.84,57.68
FL-061,Indian River County,Florida,55.4,85,2.94,52.46
FL-063,Jackson County,Florida,39.28,6,-15.42,54.7
FL-065,Jefferson County,Florida,52.87,57,-2.23,55.1
FL-067,Lafayette County,Florida,59.62,92,5.19,54.43
FL-069,Lake County,Florida,44.39,23,-6.47,50.86
FL-071,Lee County,Florida,42.25,12,-7.79,50.04
FL-073,Leon County,Florida,47.91,21,-9.37,57.28
FL-075,Levy County,Florida,49.85,53,-3.11,52.96
FL-077,Liberty County,Florida,47.12,19,-11.74,58.86
FL-079,Madison County,Florida,57.67,87,4.08,53.59
FL-081,Manatee County,Florida,39.21,3,-13.32,52.53
FL-083,Marion County,Florida,52.67,68,-0.01,52.68
FL-085,Martin County,Florida,59.62,91,5.54,54.08
FL-086,Miami-Dade County,Florida,66.96,115,11.8,55.16
FL-087,Monroe County,Florida,54.1,91,3.24,50.86
FL-089,Nassau County,Florida,49.5,59,-1.07,50.57
FL-091,Okaloosa County,Florida,48.98,14,-11.71,60.69
FL-093,Okeechobee County,Florida,55.59,93,4.83,50.76
FL-095,Orange County,Florida,47.55,48,-2.79,50.34
FL-097,Osceola County,Florida,49.31,56,-1.02,50.33
FL-099,Palm Beach County,Florida,60.67,88,3.79,56.88
FL-101,Pasco County,Florida,43.84,13,-9.15,52.99
FL-103,Pinellas County,Florida,33.8,1,-17.73,51.53
FL-105,Polk County,Florida,47.66,43,-4.06,51.72
FL-107,Putnam County,Florida,53.24,63,0.1,53.14
FL-109,St. Johns County,Florida,50.94,62,-0.05,50.99
FL-111,St. Lucie County,Florida,59.98,99,7.21,52.77
FL-113,Santa Rosa County,Florida,50.08,16,-11.97,62.05
FL-115,Sarasota County,Florida,37.54,5,-14.53,52.07
FL-117,Seminole County,Florida,49.18,57,-1.29,50.47
FL-119,Sumter County,Florida,44.8,18,-7.51,52.31
FL-121,Suwannee County,Florida,54.38,70,1.19,53.19
FL-123,Taylor County,Florida,61.83,99,6.27,55.56
FL-125,Union County,Florida,49.63,52,-2.1,51.73
FL-127,Volusia County,Florida,51.57,72,0.69,50.88
FL-129,Wakulla County,Florida,51.07,34,-7.15,58.22
FL-131,Walton County,Florida,47.83,14,-12.29,60.12
FL-133,Washington County,Florida,42.75,10,-14.58,57.33
GA-001,Appling County,Georgia,56.75,113,8.8,47.95
GA-003,Atkinson County,Georgia,54.25,103,5.47,48.78
GA-005,Bacon County,Georgia,57.78,113,9.56,48.22
GA-007,Baker County,Georgia,43.45,22,-8.26,51.71
GA-009,Baldwin County,Georgia,50.08,86,3.74,46.34
GA-011,Banks County,Georgia,55.24,77,2.44,52.8
GA-013,Barrow County,Georgia,54.01,84,3.47,50.54
GA-015,Bartow County,Georgia,46.2,40,-4.97,51.17
GA-017,Ben Hill County,Georgia,48.08,72,0.51,47.57
GA-019,Berrien County,Georgia,48.29,68,-0.17,48.46
GA-021,Bibb County,Georgia,45.73,61,-0.63,46.36
GA-023,Bleckley County,Georgia,46.16,64,-0.74,46.9
GA-025,Brantley County,Georgia,55.28,92,5.39,49.89
GA-027,Brooks County,Georgia,46.35,37,-5.59,51.94
GA-029,Bryan County,Georgia,48.68,71,-0.22,48.9
GA-031,Bulloch County,Georgia,55,107,7.5,47.5
GA-033,Burke County,Georgia,54.58,111,9.18,45.4
GA-035,Butts County,Georgia,50.91,80,1.68,49.23
GA-037,Calhoun County,Georgia,46.31,34,-5.59,51.9
GA-039,Camden County,Georgia,49.77,65,-1.14,50.91
GA-043,Candler County,Georgia,54.85,108,7.93,46.92
GA-045,Carroll County,Georgia,52.64,60,-0.75,53.39
GA-047,Catoosa County,Georgia,45.33,24,-7.59,52.92
GA-049,Charlton County,Georgia,51.41,70,1.16,50.25
GA-051,Chatham County,Georgia,43.38,39,-5.61,48.99
GA-053,Chattahoochee County,Georgia,49.68,71,1.06,48.62
GA-055,Chattooga County,Georgia,52.26,55,-2.5,54.76
GA-057,Cherokee County,Georgia,49.54,45,-3.94,53.48
GA-059,Clarke County,Georgia,53.64,81,3.88,49.76
GA-061,Clay County,Georgia,46.75,35,-5.44,52.19
GA-063,Clayton County,Georgia,48.76,59,-1.21,49.97
GA-065,Clinch County,Georgia,51.68,78,1.86,49.82
GA-067,Cobb County,Georgia,48.3,49,-2.8,51.1
GA-069,Coffee County,Georgia,52.83,99,4.6,48.23
GA-071,Colquitt County,Georgia,43.12,23,-7.11,50.23
GA-073,Columbia County,Georgia,53.78,114,7.84,45.94
GA-075,Cook County,Georgia,44.92,37,-4.4,49.32
GA-077,Coweta County,Georgia,50.16,57,-1,51.16
GA-079,Crawford County,Georgia,46.47,55,-1.57,48.04
GA-081,Crisp County,Georgia,47.66,67,0.66,47
GA-083,Dade County,Georgia,47.32,32,-6.78,54.1
GA-085,Dawson County,Georgia,56.69,53,-2.55,59.24
GA-087,Decatur County,Georgia,38.41,7,-15.19,53.6
GA-089,DeKalb County,Georgia,52.21,77,1.81,50.4
GA-091,Dodge County,Georgia,45.4,59,-2.01,47.41
GA-093,Dooly County,Georgia,47.31,65,0.16,47.15
GA-095,Dougherty County,Georgia,45.66,45,-3.75,49.41
GA-097,Douglas County,Georgia,50.47,61,-1.37,51.84
GA-099,Early County,Georgia,41.78,17,-11.27,53.05
GA-101,Echols County,Georgia,47.42,50,-3.5,50.92
GA-103,Effingham County,Georgia,50.42,87,2.22,48.2
GA-105,Elbert County,Georgia,48.31,68,-0.01,48.32
GA-107,Emanuel County,Georgia,52.99,105,6.66,46.33
GA-109,Evans County,Georgia,55.87,107,8.4,47.47
GA-111,Fannin County,Georgia,57.51,50,-2.45,59.96
GA-113,Fayette County,Georgia,47.99,53,-1.99,49.98
GA-115,Floyd County,Georgia,50.45,60,-1.59,52.04
GA-117,Forsyth County,Georgia,54.94,74,1.47,53.47
GA-119,Franklin County,Georgia,50.94,72,0.72,50.22
GA-121,Fulton County,Georgia,50.89,66,0.05,50.84
GA-123,Gilmer County,Georgia,59.16,56,-2.29,61.45
GA-125,Glascock County,Georgia,54.27,108,7.52,46.75
GA-127,Glynn County,Georgia,48.07,54,-2.66,50.73
GA-129,Gordon County,Georgia,51.43,58,-1.29,52.72
GA-131,Grady County,Georgia,43.64,18,-10.19,53.83
GA-133,Greene County,Georgia,50.56,87,2.73,47.83
GA-135,Gwinnett County,Georgia,54.65,84,3.49,51.16
GA-137,Habersham County,Georgia,56.54,34,-6.99,63.53
GA-139,Hall County,Georgia,55.93,73,1.38,54.55
GA-141,Hancock County,Georgia,52.28,102,5.22,47.06
GA-143,Haralson County,Georgia,50.82,54,-2.31,53.13
GA-145,Harris County,Georgia,52.85,73,1.57,51.28
GA-147,Hart County,Georgia,47.02,54,-2.03,49.05
GA-149,Heard County,Georgia,53.38,69,0.52,52.86
GA-151,Henry County,Georgia,50.87,68,1.01,49.86
GA-153,Houston County,Georgia,46.22,62,-0.83,47.05
GA-155,Irwin County,Georgia,48.92,78,1.3,47.62
GA-157,Jackson County,Georgia,54.57,86,4.12,50.45
GA-159,Jasper County,Georgia,50.44,74,1.57,48.87
GA-161,Jeff Davis County,Georgia,53.14,101,5.78,47.36
GA-163,Jefferson County,Georgia,54.33,109,8.2,46.13
GA-165,Jenkins County,Georgia,51.9,101,5.72,46.18
GA-167,Johnson County,Georgia,53.25,107,6.95,46.3
GA-169,Jones County,Georgia,47.59,70,0.65,46.94
GA-171,Lamar County,Georgia,49.18,64,-0.6,49.78
GA-173,Lanier County,Georgia,50.02,75,0.42,49.6
GA-175,Laurens County,Georgia,48.49,86,1.85,46.64
GA-177,Lee County,Georgia,47.6,57,-1.06,48.66
GA-179,Liberty County,Georgia,47.78,55,-1.37,49.15
GA-181,Lincoln County,Georgia,48.34,83,1.32,47.02
GA-183,Long County,Georgia,51.13,85,2.23,48.9
GA-185,Lowndes County,Georgia,48.65,61,-2.19,50.84
GA-187,Lumpkin County,Georgia,58.02,42,-4.5,62.52
GA-189,McDuffie County,Georgia,53.3,105,6.46,46.84
GA-191,McIntosh County,Georgia,47.03,51,-3.19,50.22
GA-193,Macon County,Georgia,46.91,58,-1.15,48.06
GA-195,Madison County,Georgia,53.38,87,3.84,49.54
GA-197,Marion County,Georgia,50.17,69,0.75,49.42
GA-199,Meriwether County,Georgia,49.5,57,-1.52,51.02
